Luciferase,pH,Time,Slope,Intercept,R_squared,N_points
FLuc,6.0,0.0,0.5027394492500724,1.5523170480468542,0.8594219862543797,4
FLuc,6.0,1.0,0.47630930271366123,1.592079563628441,0.8705345894637745,4
FLuc,6.0,2.0,0.5703988531471481,1.4248697649919286,0.903393598731854,4
FLuc,6.0,3.0,0.533867814814466,1.4727534504289932,0.8964439507561222,4
FLuc,6.0,4.0,0.4536383841795361,1.5543720539259105,0.7865375071457454,4
FLuc,6.0,5.0,0.44087106456485314,1.6056427507912043,0.7933446910026294,4
FLuc,6.0,6.0,0.5627705315080075,1.4188354639302685,0.9201577879311884,4
FLuc,6.0,7.0,0.49466363537381236,1.4843795041909345,0.8907294271171844,4
FLuc,6.0,8.0,0.566234899060995,1.4251178726615086,0.9395332120116427,4
FLuc,6.0,9.0,0.5535134757758684,1.3913233943053098,0.8594054306023455,4
FLuc,6.0,10.0,0.48590896616182544,1.485082956093176,0.8506145980350203,4
FLuc,6.0,11.0,0.5126256860588544,1.4172233434087878,0.869464996683183,4
FLuc,6.0,12.0,0.47171770924375817,1.5276441653858461,0.9031264974531688,4
FLuc,6.0,13.0,0.4784263508877023,1.4649957172863874,0.8502772638324283,4
FLuc,6.0,14.0,0.4878386194356552,1.4792476171735482,0.8337198714570343,4
FLuc,6.0,15.0,0.5653439994885782,1.384167298620338,0.9327134828565276,4
FLuc,6.0,16.0,0.5441267398497344,1.3457495006383318,0.9106814105125671,4
FLuc,6.0,17.0,0.49027894443751335,1.3992846992988883,0.7888249718511722,4
FLuc,6.0,18.0,0.5270657450428708,1.3686128760653287,0.8505292892481388,4
FLuc,6.0,19.0,0.50074966613129,1.3977548948827292,0.8832538646498794,4
FLuc,6.0,20.0,0.46609293129774176,1.395607195673115,0.7833652003057748,4
FLuc,6.0,21.0,0.4979956819669448,1.381925328998622,0.8527989821361415,4
FLuc,6.0,22.0,0.4888590206192975,1.3963503340041803,0.8332079396005183,4
FLuc,6.0,23.0,0.5262659716414451,1.293087048415773,0.8605757245393972,4
FLuc,6.0,24.0,0.47386238082924903,1.443729620688197,0.8907882967131406,4
FLuc,6.0,25.0,0.5156043919866913,1.297456847631954,0.8891613142789686,4
FLuc,6.5,0.0,0.9308035108958905,2.803962612190181,0.9889069715068853,4
FLuc,6.5,1.0,0.9371938127618883,2.7673527050946074,0.9902432073588748,4
FLuc,6.5,2.0,0.9353229196032001,2.7564398287957705,0.9909098378938369,4
FLuc,6.5,3.0,0.9132053724348022,2.7916670528164067,0.9896921403689166,4
FLuc,6.5,4.0,0.9250891869928356,2.7589087152805694,0.9901605905836804,4
FLuc,6.5,5.0,0.9369604231604599,2.737797636402259,0.9937690280422697,4
FLuc,6.5,6.0,0.9171844505488488,2.7648035483201507,0.9917798032125104,4
FLuc,6.5,7.0,0.9409359521929892,2.715949941494268,0.9939879933632542,4
FLuc,6.5,8.0,0.9141638356603916,2.7399851745713253,0.988697915271144,4
FLuc,6.5,9.0,0.9384651612115675,2.7077855286420194,0.9949223644221844,4
